Home_Page,Movie_Name,Genres,Overview,Cast,Original_Language,Storyline,Production_Company,Release_Date,Tagline,Vote_Average,Vote_Count,Budget_USD,Revenue_$,Run_Time_Minutes,Release_Country
https://www.imdb.com/title/tt14858658/,Blink Twice,"['Mystery', 'Thriller']","When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.","['Naomi Ackie', 'Channing Tatum', 'Alia Shawkat', 'Christian Slater', 'Simon Rex', 'Adria Arjona', 'Haley Joel Osment', 'Liz Caribel Sierra', 'Levon Hawke', 'Trew Mullen', 'Geena Davis', 'Kyle MacLachlan', 'Cris Costa', 'María Elena Olivares', 'Saul Williams', 'Tiffany Persons', 'Aaron Himelstein', 'Ben Jacobson']",['English'],"When tech billionaire Slater King (Channing Tatum) meets cocktail waitress Frida (Naomi Ackie) at his fundraising gala, sparks fly. He invites her to join him and his friends on a dream vacation on his private island. It's paradise. Wild nights blend into sun-soaked days and everyone's having a great time. Nobody wants this trip to end, but as strange things start to happen, Frida begins to question her reality. Something is wrong with this place. She'll have to uncover the truth if she wants to make it out of this party alive. —MGM","['Bruce Cohen Productions', 'Free Association', 'Metro-Goldwyn-Mayer (MGM)']",2024-08-23,Are you having a good time?,6.5,92K,$20.0M,$48.1M,102,United States
https://www.imdb.com/title/tt32252772/,Dexter: Original Sin,"['Crime', 'Drama', 'Mystery']","Miami, 1991. When his bloodthirsty urges can't be ignored any longer, young Dexter Morgan must learn to channel his inner darkness as he transitions from student to avenging serial killer with the guidance of his father, Harry.","['Patrick Gibson', 'Christian Slater', 'Molly Brown', 'Christina Milian', 'James Martinez', 'Alex Shimizu', 'Reno Wilson', 'Patrick Dempsey', 'Michael C. Hall', 'Sarah Michelle Gellar', 'Brittany Allen', 'Aaron Jennings', 'Raquel Justice', 'Sarah Kinsey', 'Eli Sherman', 'Jasper Lewis', 'Xander Mateo', 'London Thatcher']",['English'],"In 1991, young Dexter Morgan (Patrick Gibson) begins his internship as a forensic technician for the Miami Metro Police Department while transitioning into an avenging serial killer. When his bloodthirsty urges can no longer be ignored, Dexter must control his inner darkness. With the help from his foster father Harry (Christian Slater), he adopts the Code designed to help him find and kill other serial killers while staying under the radar of law enforcement.","['Clyde Phillips Productions', 'Counterpart Studios']",2024-12-13,They're catching killers. He's about to become one.,8.3,21K,$0,$0,60,United States
https://www.imdb.com/title/tt11563598/,A Complete Unknown,"['Biography', 'Drama', 'Music']","In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.","['Timothée Chalamet', 'Edward Norton', 'Elle Fanning', 'Monica Barbaro', 'Joe Tippett', 'Eriko Hatsune', 'Peter Gray Lewis', 'Peter Gerety', 'Lenny Grossman', 'David Wenzel', 'Scoot McNairy', 'Riley Hashimoto', 'Eloise Peyrot', 'Maya Feldman', 'Dan Fogler', 'Reza Salazar', 'David Alan Basche', 'James Austin Johnson']",['English'],"Set in the influential New York City music scene of the early 1960s, ""A Complete Unknown"" follows 19-year-old Minnesota musician Bob Dylan's meteoric rise as a folk singer to concert halls and the top of the charts as his songs and his mystique become a worldwide sensation that culminates in his groundbreaking electric rock-and-roll performance at the Newport Folk Festival in 1965.","['Veritas Entertainment', 'The Picture Company', 'Range Media Partners']",2024-12-25,The ballad of a true original.,7.6,31K,$70.0M,$99.1M,141,United States
https://www.imdb.com/title/tt18259086/,Sonic the Hedgehog 3,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.","['Jim Carrey', 'Ben Schwartz', 'Keanu Reeves', 'Idris Elba', ""Colleen O'Shaughnessey"", 'James Marsden', 'Tika Sumpter', 'Lee Majdoub', 'Krysten Ritter', 'Adam Pally', 'Natasha Rothwell', 'Shemar Moore', 'Alyla Browne', 'Tom Butler', 'Jorma Taccone', 'Sofia Pernas', 'Cristo Fernández', 'James Wolk']",['English'],"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","['Paramount Pictures', 'Sega Sammy Group', 'Original Film']",2024-12-20,New adventure. New rival.,7.0,44K,$122.0M,$478.6M,110,United States
https://www.imdb.com/title/tt20215234/,Conclave,"['Drama', 'Mystery', 'Thriller']","When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a web of conspiracies and intrigue that could shake the very foundation of the Catholic Church.","['Ralph Fiennes', 'Stanley Tucci', 'John Lithgow', 'Lucian Msamati', 'Jacek Koman', 'Bruno Novelli', 'Thomas Loibl', ""Brían F. O'Byrne"", 'Isabella Rossellini', 'Rony Kramer', 'Sergio Castellitto', 'Valerio Da Silva', 'Carlos Diehz', 'Joseph Mydell', 'Vincenzo Failla', 'Garrick Hagon', 'Merab Ninidze', 'Madhav Sharma']","['English', 'Italian', 'Spanish', 'Latin']","Cardinal Lawrence (Ralph Fiennes) is tasked with running this covert process after the unexpected death of the beloved Pope. Once the Catholic Church's most powerful leaders have gathered from around the world and are locked together in the Vatican halls, Lawrence uncovers a trail of deep secrets left in the dead Pope's wake--secrets which could shake the foundations of the Church. —Focus Features","['Indian Paintbrush', 'Access Entertainment', 'FilmNation Entertainment']",2024-10-25,What happens behind these walls will change everything.,7.4,98K,$20.0M,$95.5M,120,United States
https://www.imdb.com/title/tt24053860/,The Day of the Jackal,"['Action', 'Crime', 'Drama', 'Thriller']",The Jackal is an elusive assassin who makes his living carrying out hits for the highest fee. He soon meets his match in a tenacious British intelligence officer who tracks him down in a thrilling cat-and-mouse chase across Europe.,"['Eddie Redmayne', 'Lashana Lynch', 'Eleanor Matsuura', 'Chukwudi Iwuji', 'Úrsula Corberó', 'Ben Hall', 'Lia Williams', 'Jon Arias', 'Khalid Abdalla', 'Sule Rimi', 'Florisa Kamara', 'Nick Blood', 'Charles Dance', 'Corey Johnson', 'Christy Meyer', 'Adoney Díaz Barajas', 'Saúl Díaz Barajas', 'Patrick Kennedy']","['English', 'Spanish', 'German']","In Munich a mysterious Englishman assassinates a German political figure with a seemingly-impossible piece of marksmanship. At MI6 headquarters in London, an analyst, Bianca Pullman, takes notice and thinks she might know a way to identify the killer. —grantss","['Carnival Film & Television', 'Peacock Productions', 'SKY Studios']",2024-11-14,Not_Found,8.2,76K,$0,$0,Unknown,United States
https://www.imdb.com/title/tt21823606/,A Real Pain,"['Comedy', 'Drama']","Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history.","['Kieran Culkin', 'Jesse Eisenberg', 'Olha Bosova', 'Banner Eisenberg', 'Jakub Gasowski', 'Will Sharpe', 'Daniel Oreskes', 'Liza Sadovy', 'Kurt Egyiawan', 'Jennifer Grey', 'Ellora Torchia', 'Piotr Czarniecki', 'Krzysztof Jaszczak', 'Marek Kasprzyk', 'Jakub Pruski']","['English', 'Polish']","""A Real Pain"" follows mismatched cousins David (Jesse Eisenberg) and Benji (Kieran Culkin) as they reunite for a tour through Poland to honor their beloved grandmother, but their adventure takes a dark turn when the odd couple's old tensions resurface against the backdrop of their family history. —Searchlight Pictures","['Topic Studios', 'Extreme Emotions', 'Fruit Tree']",2024-11-01,Not_Found,7.1,54K,$0,$19.6M,90,United States
https://www.imdb.com/title/tt22475008/,Watson,"['Drama', 'Mystery']","A year after the death of his friend and partner Sherlock Holmes, Dr. John Watson resumes his medical career at a clinic dedicated to the treatment of rare diseases. However, he soon finds that his old life is not done with him yet.","['Morris Chestnut', 'Eve Harlow', 'Peter Mark Kendall', 'Inga Schlingmann', 'Rochelle Aytes', 'Ritchie Coster', ""Tommy O'Brien"", 'Bethany Brown', 'Danny Mac', 'Anjelica Bette Fellini', 'Shannon Berry', 'Randall Park', 'Jean Zarzour', 'Alejandra Chavarria', 'Lesley Mirza', 'Grace Gouwens', 'Andrew Dobbie', 'Riley Orr']",['English'],"A year after the death of his friend and partner Sherlock Holmes, Dr. John Watson resumes his medical career at a clinic dedicated to the treatment of rare diseases. However, he soon finds that his old life is not done with him yet.","['Action This Day!', 'Kapital Entertainment', 'CBS Studios']",2025-01-26,Not_Found,4.6,1.5K,$0,$0,Unknown,United States
https://www.imdb.com/title/tt1262426/,Wicked,"['Fantasy', 'Musical', 'Romance']","Elphaba, a misunderstood young woman because of her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.","['Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum', 'Michelle Yeoh', 'Jonathan Bailey', 'Ethan Slater', 'Marissa Bode', 'Peter Dinklage', 'Andy Nyman', 'Courtney Mae-Briggs', 'Bowen Yang', 'Bronwyn James', 'Aaron Teoh Guan Ti', 'Shaun Prendergast', 'Keala Settle', 'Sharon D. Clarke', 'Jenna Boyd', 'Colin Michael Carmichael']",['English'],"Elphaba, a young woman with green skin, as she navigates life at Shiz University and forms an unlikely friendship with the popular Galinda. Their bond deepens as they encounter the Wizard of Oz, leading to a series of events that ultimately shape their destinies and transform them into the Wicked Witch of the West and Glinda the Good. —Adrian Serpa","['Universal Pictures', 'Marc Platt Productions', 'Moving Pictures (I)']",2024-11-22,Everyone deserves the chance to fly.,7.6,127K,$150.0M,$725.0M,160,United States
https://www.imdb.com/title/tt26656917/,The Agency,"['Drama', 'Thriller']","Follows a world of even deeper intrigue and subterfuge, with characters fighting their own battles as they grapple with existential threats to the nation and the world.","['Michael Fassbender', 'Jeffrey Wright', 'Jodie Turner-Smith', 'Katherine Waterston', 'Harriet Sansom Harris', 'John Magaro', 'Saura Lightfoot-Leon', 'Andrew Brooke', 'India Fowler', 'Reza Brojerdi', 'Alex Reznik', 'Richard Gere', 'Bilal Hasna', 'Sabrina Wu', 'Adam Nagaitis', 'Tom Vaughan-Lawlor', 'Ambreen Razia', 'Kurt Egyiawan']",['English'],"The Agency centers on Martian, a covert CIA agent who's ordered to abandon his undercover life and return to London station. When the love he left behind reappears, romance reignites. His career, his real identity, and his mission are pitted against his heart; hurling them both into a deadly game of international intrigue and espionage. —brianfabulous","['101 Studios', 'Federation Entertainment', 'MTV Entertainment Studios']",2024-11-29,Lie or die: Secrets have a cost.,7.4,14K,$0,$0,60,United States
https://www.imdb.com/title/tt29623480/,The Wild Robot,"['Animation', 'Sci-Fi']","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor', 'Bill Nighy', 'Stephanie Hsu', 'Matt Berry', 'Ving Rhames', 'Mark Hamill', ""Catherine O'Hara"", 'Boone Storm', 'Alexandra Novelle', 'Raphael Alejandro', 'Paul-Mikél Williams', 'Eddie Park', 'Dee Bradley Baker', 'Randy Thom', 'Avrielle Corti', 'Keston John']","['English', 'German', 'French', 'Spanish', 'Swahili', 'Japanese']","From DreamWorks Animation comes a new adaptation of a literary sensation, Peter Brown's beloved, award-winning, #1 New York Times bestseller, The Wild Robot. The epic adventure follows the journey of a robot--ROZZUM unit 7134, ""Roz"" for short--that is shipwrecked on an uninhabited island and must learn to adapt to the harsh surroundings, gradually building relationships with the animals on the island and becoming the adoptive parent of an orphaned gosling. —DreamWorks Pictures","['Dentsu', 'DreamWorks Animation']",2024-09-27,"Sometimes, to survive, you must become more than you were programmed to be.",8.2,136K,$78.0M,$328.2M,102,United States
https://www.imdb.com/title/tt28249919/,Presence,"['Drama', 'Horror', 'Thriller']",A family becomes convinced they are not alone after moving into their new home in the suburbs.,"['Lucy Liu', 'Chris Sullivan', 'Callina Liang', 'Eddy Maday', 'West Mulholland', 'Julia Fox', 'Benny Elledge', 'Daniel Danielson', 'Jared Wiseman', 'Robert M. Jimenez', 'Lucas Papaelias', 'Natalie Woolams-Torres']",['English'],A family becomes convinced they are not alone after moving into their new home in the suburbs.,"['Extension 765', 'The Spectral Spirit Company']",2025-01-24,In this house there is a,6.6,7K,$0,$8.4M,84,United States
https://www.imdb.com/title/tt16539454/,Pushpa: The Rule - Part 2,"['Action', 'Crime', 'Drama', 'Thriller']","A smuggling kingpin faces off against a vengeful rival while manipulating politics, making big deals, and navigating tense confrontations. A public apology leads to a dramatic showdown, ending with challenge.","['Allu Arjun', 'Rashmika Mandanna', 'Fahadh Faasil', 'Jagadeesh Prathap Bandari', 'Jagapathi Babu', 'Sunil', 'Anasuya Bharadwaj', 'Rao Ramesh', 'Aadukalam Naren', 'Tarak Ponnappa', 'Shanmukh', 'Ajay', 'Mime Gopi', 'Dayanand Reddy', 'Kalpalatha', 'Rajasekhar Aningi', 'Satya', 'Saurabh Sachdeva']",['Telugu'],"Pushpa is become the head of red sandal smuggling syndicate and rules the whole state .While Bhawar Singh Shekhawat is waiting for revenge on Pushpa for insulting him. Pushpa happily married to Srivalli and can do anything for her,she asks for a picture with state Chief Minister during his meet but the CM rejects it considering it might harm his reputation for clicking with smuggler.Pushpa convinces his friend Sidappa to contestant the upcoming elections of next CM and he is ready spend heavy amount for the same.Pushpa teams with an international smuggler Hameed for a huge consignment of Red Sandal and alerts all his dealers.Shekawat takes this opportunity to get Pushpa on his knees by teaming up with Sinu and Daksha.But Shekhawat goes violent way by killing one of the dealers which spreads fear among others that Shekhawat and Pushpa's rivalry might end the syndicate.The members convince them for patch up but Shekhawat agrees on a condition that Pushpa says him sorry in front of everyone.A huge party is organized where Pushpa and Shekhawat face off each other and Pushpa says sorry to Shekhawat and leaves the party.But somewhere feels that he has brought down his own image and returns back to the party where Shekhawat is celebrating.But Shekhawat's happiness is lived shortly as this time Pushpa insults him in front of huge crowd and both are angry for each others blood who are controlled by the crowd.Pushpa then openly challenges Shekhawat that he will leave the syndicate if he catches his next Red Sandal consignment.","['AR Film Studio', 'Muttamsetty Media', 'Mythri Movie Makers']",2024-12-05,The rule begins,6.2,51K,$0,$21.9M,201,India
https://www.imdb.com/title/tt14961016/,I'm Still Here,"['Biography', 'Drama', 'History']","A mother is forced to reinvent herself when her family's life is shattered by an act of arbitrary violence during the tightening grip of a military dictatorship in Brazil, 1971.","['Fernanda Torres', 'Fernanda Montenegro', 'Selton Mello', 'Valentina Herszage', 'Maria Manoella', 'Bárbara Luz', 'Gabriela Carneiro da Cunha', 'Luiza Kosovski', 'Marjorie Estiano', 'Guilherme Silveira', 'Antonio Saboia', 'Cora Mora', 'Olívia Torres', 'Pri Helena', 'Humberto Carrão', 'Charles Fricks', 'Maeve Jinkings', 'Luana Nastas']",['Portuguese'],"One afternoon in 1971, Rubens Paiva, a former congressman and outspoken critic of Brazil's newly instituted military dictatorship, was taken from his home in Rio de Janeiro by government officials, told nothing more than that he must give a ""deposition"" to authorities, and disappeared. Adapted from his son Marcelo Rubens Paiva's memoir, this overwhelming, richly realized political drama from Walter Salles (The Motorcycle Diaries) stays tightly wedded to the perspective of Rubens's wife, Eunice (a shattering Fernanda Torres), whose indefatigable search for the truth about her husband would stretch out for decades. A devastating true story, I'm Still Here is exhilarating in its portrayal of human tenacity in the face of injustice. Featuring a deeply affecting appearance from Fernanda Montenegro, Oscar nominee for Salles's Central Station. A Sony Pictures Classics release.","['VideoFilmes', 'RT Features', 'MACT Productions']",2025-02-07,Not_Found,8.8,73K,$1.6M,$25.2M,137,United States
https://www.imdb.com/title/tt13186482/,Mufasa: The Lion King,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']","Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.","['Aaron Pierre', 'Kelvin Harrison Jr.', 'Tiffany Boone', 'Kagiso Lediga', 'Preston Nyman', 'Blue Ivy Carter', 'John Kani', 'Mads Mikkelsen', 'Seth Rogen', 'Billy Eichner', 'Thandiwe Newton', 'Lennie James', 'Anika Noni Rose', 'Keith David', 'Braelyn Rankins', 'Theo Somolu', 'Donald Glover', 'Beyoncé']",['English'],"Mufasa, a young lion cub separated from his parents by a flood, finds himself rescued by another cub named Taka. They form a strong bond despite their differing backgrounds, but their friendship is tested when a threat to their pride forces them to confront their pasts and determine their true loyalties. —Adrian Serpa","['Walt Disney Pictures', 'Québec Production Services Tax Credit', 'Walt Disney Animation Studios']",2024-12-20,Orphan. Outsider. King.,6.7,38K,$200.0M,$687.4M,118,United States
